timestamp,open,high,low,close,volume,returns
2025-08-04 06:00:00,37.86,37.97,37.671,37.964,101428.54,
2025-08-04 07:00:00,37.964,38.464,37.951,38.337,190889.82,0.00982509746075233
2025-08-04 08:00:00,38.334,38.487,37.938,38.024,249507.44,-0.0081644364452097
2025-08-04 09:00:00,38.031,38.27,37.505,37.633,645422.67,-0.01028297917104981
2025-08-04 10:00:00,37.633,37.736,37.341,37.492,419330.82,-0.003746711662636626
2025-08-04 11:00:00,37.493,37.598,37.22,37.568,253437.33,0.0020270991144777373
2025-08-04 12:00:00,37.567,37.908,37.491,37.856,295788.81,0.0076660988074959135
2025-08-04 13:00:00,37.856,38.537,37.65,38.515,731039.47,0.017408072696534216
2025-08-04 14:00:00,38.515,38.961,38.156,38.332,1300421.85,-0.004751395560171345
2025-08-04 15:00:00,38.347,38.485,37.926,38.353,491566.73,0.0005478451424396624
2025-08-04 16:00:00,38.359,38.908,38.303,38.902,757979.74,0.014314395223320231
2025-08-04 17:00:00,38.902,39.459,38.419,38.532,1519929.91,-0.009511079121896193
2025-08-04 18:00:00,38.519,38.784,37.91,37.997,772601.78,-0.013884563479705125
2025-08-04 19:00:00,37.998,38.171,37.608,37.65,719511.91,-0.009132299918414688
2025-08-04 20:00:00,37.651,38.296,37.521,38.01,623694.75,0.009561752988047845
2025-08-04 21:00:00,38.004,38.768,37.983,38.724,625981.94,0.018784530386740217
2025-08-04 22:00:00,38.721,39.044,38.671,39.03,449004.26,0.007902076231794286
2025-08-04 23:00:00,39.031,39.045,38.646,38.793,209188.6,-0.006072252113758725
2025-08-05 00:00:00,38.794,38.869,38.382,38.793,516187.83,0.0
2025-08-05 01:00:00,38.793,38.972,38.596,38.625,392057.7,-0.004330678215141881
2025-08-05 02:00:00,38.623,38.814,38.31,38.789,463879.32,0.004245954692556619
2025-08-05 03:00:00,38.789,39.04,38.3,38.426,700522.01,-0.009358323235968968
2025-08-05 04:00:00,38.425,38.702,38.0,38.272,476092.13,-0.004007703117680839
2025-08-05 05:00:00,38.278,38.85,38.228,38.814,328344.45,0.014161789297658878
2025-08-05 06:00:00,38.824,39.25,38.599,38.696,911651.68,-0.003040140155614046
2025-08-05 07:00:00,38.69,38.938,38.2,38.249,270683.35,-0.011551581558817303
2025-08-05 08:00:00,38.254,38.36,38.031,38.241,252720.86,-0.00020915579492286618
2025-08-05 09:00:00,38.243,39.396,38.201,39.37,585702.18,0.029523286524933967
2025-08-05 10:00:00,39.372,39.66,39.031,39.086,909040.74,-0.007213614427228787
2025-08-05 11:00:00,39.086,39.666,39.0,39.665,472128.03,0.01481348820549555
2025-08-05 12:00:00,39.666,39.768,38.904,39.236,840820.1,-0.01081558048657516
2025-08-05 13:00:00,39.236,39.873,38.94,39.826,688466.17,0.015037210724844652
2025-08-05 14:00:00,39.826,39.883,38.5,38.904,1439710.95,-0.02315070556922605
2025-08-05 15:00:00,38.904,39.278,38.08,38.114,1436692.23,-0.02030639522928246
2025-08-05 16:00:00,38.113,38.527,37.993,38.462,690050.23,0.009130503227160691
2025-08-05 17:00:00,38.464,38.929,38.307,38.776,536502.68,0.00816390203317563
2025-08-05 18:00:00,38.775,38.931,38.501,38.595,512096.46,-0.004667835774706086
2025-08-05 19:00:00,38.594,38.784,37.708,38.067,900682.12,-0.013680528565876426
2025-08-05 20:00:00,38.068,38.379,37.75,37.861,550524.04,-0.005411511282738424
2025-08-05 21:00:00,37.859,38.278,37.706,37.707,491716.58,-0.0040675101027441984
2025-08-05 22:00:00,37.706,38.295,37.37,38.263,889128.3,0.014745272761025774
2025-08-05 23:00:00,38.259,38.621,38.257,38.492,779041.01,0.00598489402294633
2025-08-06 00:00:00,38.492,38.568,37.916,37.966,323004.93,-0.013665177179673638
2025-08-06 01:00:00,37.949,37.954,37.263,37.57,870091.85,-0.010430385081388605
2025-08-06 02:00:00,37.569,37.681,37.268,37.279,451056.29,-0.007745541655576171
2025-08-06 03:00:00,37.279,37.444,37.037,37.241,834390.32,-0.0010193406475497158
2025-08-06 04:00:00,37.242,37.34,37.0,37.002,368074.13,-0.006417657957627276
2025-08-06 05:00:00,37.002,37.609,36.931,37.287,716913.53,0.007702286362899269
2025-08-06 06:00:00,37.283,37.585,37.165,37.486,279447.73,0.00533698071713995
2025-08-06 07:00:00,37.487,37.835,37.333,37.829,501728.15,0.009150082697540585
2025-08-06 08:00:00,37.831,37.847,37.316,37.458,220194.36,-0.009807290702899985
2025-08-06 09:00:00,37.46,37.748,37.317,37.378,243001.84,-0.002135725345720485
2025-08-06 10:00:00,37.379,37.499,37.141,37.228,269197.48,-0.004013055808229415
2025-08-06 11:00:00,37.229,37.61,37.16,37.475,175250.78,0.0066347910175137415
2025-08-06 12:00:00,37.476,37.659,37.3,37.522,349279.01,0.0012541694462975261
2025-08-06 13:00:00,37.524,38.008,37.477,37.98,647432.29,0.012206172378871116
2025-08-06 14:00:00,37.993,38.488,37.854,38.459,883328.59,0.012611901000526782
2025-08-06 15:00:00,38.459,38.868,38.111,38.799,933294.64,0.008840583478509467
2025-08-06 16:00:00,38.796,38.819,38.281,38.695,657870.75,-0.0026804814557076506
2025-08-06 17:00:00,38.695,39.038,38.642,38.846,386322.12,0.0039023129603306117
2025-08-06 18:00:00,38.84,39.25,38.288,38.597,1278869.02,-0.006409926375945951
2025-08-06 19:00:00,38.609,38.636,38.242,38.357,289242.44,-0.006218099852320136
2025-08-06 20:00:00,38.358,38.367,38.092,38.156,435460.79,-0.005240242980420806
2025-08-06 21:00:00,38.156,38.284,37.882,38.082,338283.02,-0.0019394066463989112
2025-08-06 22:00:00,38.086,38.212,38.003,38.065,170163.83,-0.00044640512578131286
2025-08-06 23:00:00,38.065,38.089,37.932,38.068,79240.99,7.881255746755578e-05
2025-08-07 00:00:00,38.069,38.09,37.916,37.924,115298.23,-0.0037827046338131387
2025-08-07 01:00:00,37.925,38.225,37.912,37.94,322860.9,0.0004218964244278034
2025-08-07 02:00:00,37.94,38.107,37.844,37.922,133547.66,-0.0004744333157618019
2025-08-07 03:00:00,37.909,37.95,37.569,37.683,334799.86,-0.006302410210431875
2025-08-07 04:00:00,37.685,37.823,37.67,37.745,81670.75,0.00164530424860021
2025-08-07 05:00:00,37.746,38.064,37.74,38.063,137891.22,0.00842495694794021
2025-08-07 06:00:00,38.064,38.186,37.973,38.066,117867.63,7.881669863119001e-05
2025-08-07 07:00:00,38.067,38.204,37.857,37.927,207276.03,-0.0036515525665948845
