timestamp,open,high,low,close,volume
2026-02-25 03:10:00,27.431,27.431,27.34,27.34,7.8
2026-02-25 03:15:00,27.355,27.355,27.206,27.206,326.4
2026-02-25 03:20:00,27.226,27.258,27.084,27.171,675.0
2026-02-25 03:25:00,27.218,27.232,27.212,27.218,4.8
2026-02-25 03:30:00,27.2,27.211,27.145,27.159,72.0
2026-02-25 03:35:00,27.173,27.178,27.024,27.11,431.8
2026-02-25 03:40:00,27.114,27.119,26.929,26.97,548.8
2026-02-25 03:45:00,26.954,27.102,26.954,27.075,468.4
2026-02-25 03:50:00,27.065,27.112,27.012,27.063,335.4
2026-02-25 03:55:00,27.078,27.097,26.995,27.019,10.8
2026-02-25 04:00:00,27.01,27.01,26.857,26.998,568.2
2026-02-25 04:05:00,26.979,27.015,26.966,26.981,58.6
2026-02-25 04:10:00,26.963,27.062,26.957,27.04,478.0
2026-02-25 04:15:00,27.026,27.044,26.982,27.024,687.8
2026-02-25 04:20:00,27.008,27.121,26.967,27.11,278.2
2026-02-25 04:25:00,27.081,27.102,27.044,27.102,10.0
2026-02-25 04:30:00,27.128,27.229,27.128,27.229,498.4
2026-02-25 04:35:00,27.199,27.237,27.174,27.227,38.8
2026-02-25 04:40:00,27.24,27.255,27.202,27.229,128.6
2026-02-25 04:45:00,27.208,27.276,27.203,27.276,34.8
2026-02-25 04:50:00,27.275,27.275,27.242,27.255,93.2
2026-02-25 04:55:00,27.235,27.235,27.2,27.235,142.6
2026-02-25 05:00:00,27.208,27.245,27.179,27.228,13.4
2026-02-25 05:05:00,27.242,27.242,27.211,27.211,3.0
2026-02-25 05:10:00,27.175,27.175,27.044,27.044,195.2
2026-02-25 05:15:00,27.044,27.102,27.044,27.068,152.2
2026-02-25 05:20:00,27.044,27.071,26.928,26.928,33.8
2026-02-25 05:25:00,26.97,26.97,26.875,26.912,937.4
2026-02-25 05:30:00,26.904,26.959,26.795,26.815,1078.0
2026-02-25 05:35:00,26.816,26.853,26.754,26.853,517.0
2026-02-25 05:40:00,26.798,26.893,26.798,26.893,333.0
2026-02-25 05:45:00,26.845,26.949,26.845,26.947,369.6
2026-02-25 05:50:00,26.944,26.979,26.942,26.942,1907.8
2026-02-25 05:55:00,26.979,26.986,26.895,26.895,38.0
2026-02-25 06:00:00,26.905,26.98,26.89,26.97,124.4
2026-02-25 06:05:00,26.972,26.972,26.949,26.957,46.4
2026-02-25 06:10:00,26.949,26.99,26.948,26.956,27.0
2026-02-25 06:15:00,26.945,26.977,26.934,26.97,163.4
2026-02-25 06:20:00,26.981,27.006,26.972,27.0,38.8
2026-02-25 06:25:00,26.973,27.007,26.961,26.981,1.6
2026-02-25 06:30:00,26.972,27.008,26.96,26.971,4.2
2026-02-25 06:35:00,26.954,27.004,26.944,26.994,28.4
2026-02-25 06:40:00,27.009,27.009,26.936,26.936,43.0
2026-02-25 06:45:00,26.941,26.941,26.87,26.87,42.6
2026-02-25 06:50:00,26.87,26.87,26.823,26.823,9.2
2026-02-25 06:55:00,26.839,26.896,26.828,26.89,51.6
2026-02-25 07:00:00,26.902,26.902,26.828,26.859,405.2
2026-02-25 07:05:00,26.847,26.847,26.812,26.843,20.0
2026-02-25 07:10:00,26.846,26.87,26.846,26.864,4.8
2026-02-25 07:15:00,26.873,26.953,26.873,26.944,273.8
2026-02-25 07:20:00,26.922,26.93,26.893,26.9,177.0
2026-02-25 07:25:00,26.894,26.906,26.858,26.906,65.8
2026-02-25 07:30:00,26.892,26.961,26.892,26.961,79.0
2026-02-25 07:35:00,26.946,26.956,26.891,26.912,85.2
2026-02-25 07:40:00,26.926,26.926,26.857,26.857,295.4
2026-02-25 07:45:00,26.868,26.891,26.858,26.875,8.2
2026-02-25 07:50:00,26.873,26.919,26.863,26.904,1.6
2026-02-25 07:55:00,26.906,26.936,26.902,26.906,77.8
2026-02-25 08:00:00,26.913,26.921,26.887,26.904,51.8
2026-02-25 08:05:00,26.919,26.934,26.87,26.887,24.0
2026-02-25 08:10:00,26.869,26.873,26.83,26.873,31.6
2026-02-25 08:15:00,26.864,26.883,26.839,26.863,1.4
2026-02-25 08:20:00,26.877,26.963,26.877,26.963,4.8
2026-02-25 08:25:00,26.958,27.006,26.957,26.957,35.2
2026-02-25 08:30:00,26.928,26.98,26.904,26.98,4.6
2026-02-25 08:35:00,26.986,27.036,26.986,27.009,4.8
2026-02-25 08:40:00,26.973,26.985,26.968,26.973,46.4
2026-02-25 08:45:00,26.928,26.966,26.928,26.952,49.2
2026-02-25 08:50:00,26.92,27.055,26.92,27.055,335.6
2026-02-25 08:55:00,27.033,27.056,27.003,27.009,27.6
2026-02-25 09:00:00,26.989,26.989,26.928,26.964,26.4
2026-02-25 09:05:00,26.935,26.935,26.87,26.924,95.0
2026-02-25 09:10:00,26.94,26.986,26.857,26.857,313.8
2026-02-25 09:15:00,26.846,26.871,26.754,26.863,102.2
2026-02-25 09:20:00,26.815,26.912,26.815,26.912,18.2
2026-02-25 09:25:00,26.875,26.936,26.875,26.896,11.2
2026-02-25 09:30:00,26.87,26.882,26.835,26.835,292.6
2026-02-25 09:35:00,26.816,26.828,26.797,26.828,124.8
2026-02-25 09:40:00,26.832,26.832,26.787,26.802,1.4
2026-02-25 09:45:00,26.805,26.87,26.805,26.854,6.6
2026-02-25 09:50:00,26.859,26.879,26.79,26.79,625.4
2026-02-25 09:55:00,26.782,26.814,26.782,26.782,45.8
2026-02-25 10:00:00,26.768,26.88,26.763,26.851,70.6
2026-02-25 10:05:00,26.842,26.882,26.842,26.852,4.8
2026-02-25 10:10:00,26.848,26.874,26.796,26.855,1860.2
2026-02-25 10:15:00,26.868,26.92,26.817,26.824,11.2
2026-02-25 10:20:00,26.832,26.834,26.812,26.834,2.6
2026-02-25 10:25:00,26.835,26.861,26.835,26.844,16.2
2026-02-25 10:30:00,26.836,26.836,26.802,26.832,3.8
2026-02-25 10:35:00,26.848,26.86,26.828,26.859,1.4
2026-02-25 10:40:00,26.867,26.89,26.844,26.89,50.4
2026-02-25 10:45:00,26.882,26.967,26.882,26.956,54.8
2026-02-25 10:50:00,26.955,26.969,26.939,26.939,260.4
2026-02-25 10:55:00,26.937,26.94,26.868,26.886,5.0
2026-02-25 11:00:00,26.923,26.923,26.894,26.902,1.4
2026-02-25 11:05:00,26.883,26.887,26.846,26.856,326.8
2026-02-25 11:10:00,26.878,26.899,26.846,26.846,1.6
2026-02-25 11:15:00,26.856,26.856,26.828,26.851,1.4
2026-02-25 11:20:00,26.877,27.064,26.876,27.028,12.2
2026-02-25 11:25:00,27.056,27.125,27.034,27.057,721.6
2026-02-25 11:30:00,27.023,27.078,27.001,27.026,2.2
2026-02-25 11:35:00,27.016,27.145,27.016,27.145,19.4
2026-02-25 11:40:00,27.125,27.165,27.112,27.112,11.4
2026-02-25 11:45:00,27.109,27.134,27.085,27.117,5.8
2026-02-25 11:50:00,27.133,27.164,27.118,27.118,26.6
2026-02-25 11:55:00,27.133,27.173,27.123,27.164,5.0
2026-02-25 12:00:00,27.159,27.18,27.139,27.14,151.6
2026-02-25 12:05:00,27.122,27.122,27.062,27.094,322.8
2026-02-25 12:10:00,27.145,27.145,27.012,27.076,4.8
2026-02-25 12:15:00,27.083,27.185,27.075,27.185,154.0
2026-02-25 12:20:00,27.218,27.429,27.218,27.291,694.8
2026-02-25 12:25:00,27.29,27.325,27.246,27.246,153.8
2026-02-25 12:30:00,27.24,27.322,27.174,27.322,32.8
2026-02-25 12:35:00,27.311,27.392,27.311,27.39,1375.4
2026-02-25 12:40:00,27.374,27.374,27.332,27.355,46.2
2026-02-25 12:45:00,27.375,27.469,27.375,27.461,1645.8
2026-02-25 12:50:00,27.484,27.525,27.453,27.508,110.6
2026-02-25 12:55:00,27.486,27.624,27.431,27.578,151.4
2026-02-25 13:00:00,27.566,27.648,27.525,27.581,1512.2
2026-02-25 13:05:00,27.54,27.593,27.466,27.466,163.2
2026-02-25 13:10:00,27.463,27.638,27.445,27.638,328.2
2026-02-25 13:15:00,27.601,27.601,27.43,27.468,109.0
2026-02-25 13:20:00,27.45,27.465,27.344,27.465,364.6
2026-02-25 13:25:00,27.508,27.508,27.47,27.47,38.0
2026-02-25 13:30:00,27.476,27.522,27.476,27.52,1.4
2026-02-25 13:35:00,27.52,27.561,27.52,27.552,5.2
2026-02-25 13:40:00,27.566,27.593,27.547,27.575,13.0
2026-02-25 13:45:00,27.563,27.72,27.563,27.713,411.0
2026-02-25 13:50:00,27.683,27.683,27.566,27.635,11.6
2026-02-25 13:55:00,27.623,27.659,27.623,27.647,373.2
2026-02-25 14:00:00,27.658,27.753,27.658,27.726,104.2
2026-02-25 14:05:00,27.78,27.83,27.74,27.83,51.6
2026-02-25 14:10:00,27.817,27.895,27.721,27.843,1098.2
2026-02-25 14:15:00,27.823,27.888,27.823,27.83,467.6
2026-02-25 14:20:00,27.828,27.876,27.798,27.866,204.6
2026-02-25 14:25:00,27.865,27.993,27.865,27.993,100.4
2026-02-25 14:30:00,27.952,28.188,27.952,28.188,428.0
2026-02-25 14:35:00,28.184,28.244,27.914,28.066,2374.2
2026-02-25 14:40:00,28.088,28.179,28.02,28.071,1679.8
2026-02-25 14:45:00,28.085,28.341,28.085,28.341,361.6
2026-02-25 14:50:00,28.326,28.48,28.262,28.298,1541.6
2026-02-25 14:55:00,28.315,28.32,28.204,28.248,1220.2
2026-02-25 15:00:00,28.216,28.262,28.146,28.155,461.8
2026-02-25 15:05:00,28.149,28.163,28.014,28.077,987.6
2026-02-25 15:10:00,28.09,28.105,28.055,28.055,113.8
2026-02-25 15:15:00,28.044,28.111,27.947,27.96,514.0
2026-02-25 15:20:00,27.933,27.982,27.854,27.982,503.0
2026-02-25 15:25:00,28.0,28.161,28.0,28.141,452.8
2026-02-25 15:30:00,28.061,28.088,27.914,27.914,117.6
2026-02-25 15:35:00,27.949,28.03,27.836,27.842,318.6
2026-02-25 15:40:00,27.855,28.038,27.829,28.038,632.2
2026-02-25 15:45:00,27.993,28.146,27.931,28.113,1454.2
2026-02-25 15:50:00,28.138,28.152,28.03,28.096,153.2
2026-02-25 15:55:00,28.074,28.074,27.863,27.964,49.6
2026-02-25 16:00:00,27.951,28.03,27.948,28.028,1769.0
2026-02-25 16:05:00,28.032,28.099,27.972,27.972,834.4
2026-02-25 16:10:00,28.01,28.03,27.977,27.983,200.4
2026-02-25 16:15:00,27.972,28.011,27.907,28.011,308.0
2026-02-25 16:20:00,28.02,28.204,28.02,28.204,669.8
2026-02-25 16:25:00,28.226,28.259,28.174,28.174,1098.4
2026-02-25 16:30:00,28.181,28.294,28.181,28.294,5.0
2026-02-25 16:35:00,28.32,28.422,28.211,28.281,336.6
2026-02-25 16:40:00,28.294,28.433,28.241,28.349,40.2
2026-02-25 16:45:00,28.35,28.438,28.296,28.438,695.8
2026-02-25 16:50:00,28.471,28.559,28.452,28.559,579.0
2026-02-25 16:55:00,28.515,28.668,28.505,28.534,1174.2
2026-02-25 17:00:00,28.51,28.51,28.32,28.335,461.0
2026-02-25 17:05:00,28.378,28.436,28.277,28.436,215.2
2026-02-25 17:10:00,28.378,28.567,28.378,28.521,301.0
2026-02-25 17:15:00,28.494,28.61,28.453,28.603,105.4
2026-02-25 17:20:00,28.65,28.737,28.65,28.737,642.4
2026-02-25 17:25:00,28.745,28.75,28.552,28.555,95.2
2026-02-25 17:30:00,28.571,28.591,28.476,28.476,1339.2
2026-02-25 17:35:00,28.467,28.507,28.436,28.455,33.8
2026-02-25 17:40:00,28.494,28.565,28.494,28.54,8.2
2026-02-25 17:45:00,28.528,28.645,28.525,28.645,19.0
2026-02-25 17:50:00,28.63,28.761,28.63,28.654,755.6
2026-02-25 17:55:00,28.67,28.759,28.668,28.668,11.6
2026-02-25 18:00:00,28.645,28.687,28.623,28.623,1.6
2026-02-25 18:05:00,28.66,28.665,28.636,28.661,6.0
2026-02-25 18:10:00,28.712,28.816,28.712,28.816,376.8
2026-02-25 18:15:00,28.813,28.813,28.685,28.71,704.2
2026-02-25 18:20:00,28.733,28.807,28.729,28.807,4.8
2026-02-25 18:25:00,28.796,28.923,28.761,28.81,108.6
2026-02-25 18:30:00,28.738,28.738,28.708,28.722,1.4
2026-02-25 18:35:00,28.818,28.971,28.818,28.969,107.2
2026-02-25 18:40:00,28.984,29.039,28.906,28.952,210.8
2026-02-25 18:45:00,28.88,28.88,28.813,28.827,8.6
2026-02-25 18:50:00,28.884,28.884,28.793,28.819,165.2
2026-02-25 18:55:00,28.817,28.829,28.739,28.778,1.4
2026-02-25 19:00:00,28.799,28.82,28.677,28.679,344.0
2026-02-25 19:05:00,28.686,28.761,28.638,28.761,44.2
2026-02-25 19:10:00,28.693,28.717,28.633,28.696,1.6
2026-02-25 19:15:00,28.679,28.697,28.647,28.647,1.4
2026-02-25 19:20:00,28.65,28.74,28.65,28.74,143.4
2026-02-25 19:25:00,28.707,28.707,28.645,28.649,392.2
