CHANNEL_PERIOD,CONFIDENCE_THRESHOLD,TP_ATR_MULTIPLIER,SL_ATR_MULTIPLIER,MIN_ATR_MULT,TRAIL_STOP_ATR,RR_RATIO,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,composite_score
15,55,1.5,0.6,0.3,0.4,2.5,3.526779572226757,0.6219292691009448,8.844823152061728,71,52.112676056338024,1.8868861165719522,5.885903797284127
15,55,1.5,0.6,0.3,0.6,2.5,3.7004296534857817,0.6219292691009374,9.062251312528828,71,52.112676056338024,1.9296536472153178,6.470943665286277
15,55,1.5,0.6,0.3,0.8,2.5,3.874297103996849,0.621929269100948,9.24763430809551,71,52.112676056338024,1.9723923963018113,7.066703812562878
15,55,1.5,0.6,0.5,0.4,2.5,3.526779572226757,0.6219292691009448,8.844823152061728,71,52.112676056338024,1.8868861165719522,5.885903797284127
15,55,1.5,0.6,0.5,0.6,2.5,3.7004296534857817,0.6219292691009374,9.062251312528828,71,52.112676056338024,1.9296536472153178,6.470943665286277
15,55,1.5,0.6,0.5,0.8,2.5,3.874297103996849,0.621929269100948,9.24763430809551,71,52.112676056338024,1.9723923963018113,7.066703812562878
15,55,1.5,0.6,0.7,0.4,2.5,3.526779572226757,0.6219292691009448,8.844823152061728,71,52.112676056338024,1.8868861165719522,5.885903797284127
15,55,1.5,0.6,0.7,0.6,2.5,3.7004296534857817,0.6219292691009374,9.062251312528828,71,52.112676056338024,1.9296536472153178,6.470943665286277
15,55,1.5,0.6,0.7,0.8,2.5,3.874297103996849,0.621929269100948,9.24763430809551,71,52.112676056338024,1.9723923963018113,7.066703812562878
15,55,1.5,0.8,0.3,0.4,1.875,3.6148649938034128,0.6579725426733958,8.447944614804273,71,56.33802816901409,1.7987463659871479,5.493043896355488
15,55,1.5,0.8,0.3,0.6,1.875,3.788662824665745,0.6579725426734238,8.671524435365523,71,56.33802816901409,1.836330673248892,6.032985719973896
15,55,1.5,0.8,0.3,0.8,1.875,3.9626782097281543,0.6579725426733704,8.867064149853576,71,56.33802816901409,1.8738889630404827,6.58434396821329
15,55,1.5,0.8,0.5,0.4,1.875,3.6148649938034128,0.6579725426733958,8.447944614804273,71,56.33802816901409,1.7987463659871479,5.493043896355488
15,55,1.5,0.8,0.5,0.6,1.875,3.788662824665745,0.6579725426734238,8.671524435365523,71,56.33802816901409,1.836330673248892,6.032985719973896
15,55,1.5,0.8,0.5,0.8,1.875,3.9626782097281543,0.6579725426733704,8.867064149853576,71,56.33802816901409,1.8738889630404827,6.58434396821329
15,55,1.5,0.8,0.7,0.4,1.875,3.6148649938034128,0.6579725426733958,8.447944614804273,71,56.33802816901409,1.7987463659871479,5.493043896355488
15,55,1.5,0.8,0.7,0.6,1.875,3.788662824665745,0.6579725426734238,8.671524435365523,71,56.33802816901409,1.836330673248892,6.032985719973896
15,55,1.5,0.8,0.7,0.8,1.875,3.9626782097281543,0.6579725426733704,8.867064149853576,71,56.33802816901409,1.8738889630404827,6.58434396821329
15,55,1.5,1.0,0.3,0.4,1.5,3.5443873517008617,0.693056106633003,7.838180164341135,71,60.56338028169014,1.7101704441522294,4.751117994774584
15,55,1.5,1.0,0.3,0.6,1.5,3.7180669672730815,0.6930561066329671,8.069287063017327,71,60.56338028169014,1.7442609281367778,5.233157744422954
15,55,1.5,1.0,0.3,0.8,1.5,3.891963989067415,0.6930561066329727,8.275755152570708,71,60.56338028169014,1.7783295854012535,5.727811275901993
15,55,1.5,1.0,0.5,0.4,1.5,3.5443873517008617,0.693056106633003,7.838180164341135,71,60.56338028169014,1.7101704441522294,4.751117994774584
15,55,1.5,1.0,0.5,0.6,1.5,3.7180669672730815,0.6930561066329671,8.069287063017327,71,60.56338028169014,1.7442609281367778,5.233157744422954
15,55,1.5,1.0,0.5,0.8,1.5,3.891963989067415,0.6930561066329727,8.275755152570708,71,60.56338028169014,1.7783295854012535,5.727811275901993
15,55,1.5,1.0,0.7,0.4,1.5,3.5443873517008617,0.693056106633003,7.838180164341135,71,60.56338028169014,1.7101704441522294,4.751117994774584
15,55,1.5,1.0,0.7,0.6,1.5,3.7180669672730815,0.6930561066329671,8.069287063017327,71,60.56338028169014,1.7442609281367778,5.233157744422954
15,55,1.5,1.0,0.7,0.8,1.5,3.891963989067415,0.6930561066329727,8.275755152570708,71,60.56338028169014,1.7783295854012535,5.727811275901993
15,55,2.0,0.6,0.3,0.4,3.3333333333333335,3.1638436602339226,0.6219292691009521,6.9445341873627,71,42.25352112676056,1.6534810122608175,3.6329326546258276
15,55,2.0,0.6,0.3,0.6,3.3333333333333335,3.5536582189027666,0.6219292691009448,7.443296012887874,71,42.25352112676056,1.7322654725067863,4.582003284464213
15,55,2.0,0.6,0.3,0.8,3.3333333333333335,3.9447678056616198,0.6219292691009374,7.875424524715347,71,42.25352112676056,1.8109408937361122,5.625999571234157
15,55,2.0,0.6,0.5,0.4,3.3333333333333335,3.1638436602339226,0.6219292691009521,6.9445341873627,71,42.25352112676056,1.6534810122608175,3.6329326546258276
15,55,2.0,0.6,0.5,0.6,3.3333333333333335,3.5536582189027666,0.6219292691009448,7.443296012887874,71,42.25352112676056,1.7322654725067863,4.582003284464213
15,55,2.0,0.6,0.5,0.8,3.3333333333333335,3.9447678056616198,0.6219292691009374,7.875424524715347,71,42.25352112676056,1.8109408937361122,5.625999571234157
15,55,2.0,0.6,0.7,0.4,3.3333333333333335,3.1638436602339226,0.6219292691009521,6.9445341873627,71,42.25352112676056,1.6534810122608175,3.6329326546258276
15,55,2.0,0.6,0.7,0.6,3.3333333333333335,3.5536582189027666,0.6219292691009448,7.443296012887874,71,42.25352112676056,1.7322654725067863,4.582003284464213
15,55,2.0,0.6,0.7,0.8,3.3333333333333335,3.9447678056616198,0.6219292691009374,7.875424524715347,71,42.25352112676056,1.8109408937361122,5.625999571234157
