entry_time,exit_time,side,entry_price,exit_price,quantity,leverage,pnl,pnl_pct,tp_price,sl_price
2026-02-11 04:20:00,2026-02-11 04:30:00,LONG,28.637039167575,28.575571130896357,171.8226514691976,5,-12.52557320231337,-0.1252557320231337,28.813186222898402,28.575571130896357
2026-02-11 04:50:00,2026-02-11 04:50:00,SHORT,28.9228914216,28.99390879628639,191.97529032573544,5,-15.860026747129547,-0.15879917253730377,28.697875590605534,28.99390879628639
2026-02-11 05:15:00,2026-02-11 05:20:00,SHORT,29.243691338399994,29.320111760114017,189.5678326144847,5,-16.710113727163865,-0.16757681411225794,29.00073927525491,29.320111760114017
2026-02-11 06:15:00,2026-02-11 06:15:00,LONG,29.004098719860004,29.204243037893445,168.88312019183607,5,31.828155443322665,0.31972336978719096,29.204243037893445,28.93472571854679
2026-02-11 06:50:00,2026-02-11 06:55:00,LONG,29.08309081828,29.004641480906237,168.96291179260484,5,-15.21531194291701,-0.1523552576544779,29.310927192868224,29.004641480906237
2026-02-11 07:15:00,2026-02-11 08:15:00,LONG,28.712127925700003,28.632600340590454,215.34310764262395,5,-19.592050575696334,-0.19648013758205857,28.988008488761995,28.632600340590454
2026-02-11 08:45:00,2026-02-11 08:45:00,SHORT,28.93989312126,29.013036610709968,191.179593989691,5,-16.202222839891657,-0.1628049117218212,28.707771858715745,29.013036610709968
2026-02-11 11:45:00,2026-02-11 11:45:00,SHORT,28.91889102168,28.986159552739103,169.0205479914129,5,-13.329466610895132,-0.13415698891297145,28.72514270436056,28.986159552739103
2026-02-11 12:20:00,2026-02-11 12:20:00,SHORT,29.03490261936,29.10880633245878,168.11936413283198,5,-14.382146857733566,-0.14494634805068288,28.820933879035,29.10880633245878
2026-02-11 13:00:00,2026-02-11 13:05:00,LONG,28.930421752900003,28.858533804639134,168.51565619470207,5,-14.059490678033466,-0.14190022935281,29.13827796037502,28.858533804639134
2026-02-11 14:10:00,2026-02-11 14:10:00,LONG,28.933105821279998,29.185899359746706,168.2609214029937,5,40.570935179833036,0.4100579444463066,29.185899359746706,28.846505890559115
2026-02-11 14:50:00,2026-02-11 14:50:00,LONG,28.916107521620003,28.827134897012723,169.05020625900343,5,-16.990133781343967,-0.17102113826587625,29.17615545276114,28.827134897012723
2026-02-11 15:15:00,2026-02-11 15:30:00,LONG,28.473151830480003,28.81844493055742,193.6806837359528,5,64.64397326495789,0.6518150852058583,28.81844493055742,28.366241174018164
2026-02-11 16:00:00,2026-02-11 16:00:00,SHORT,28.924563754349997,29.027844794497184,169.77748635615777,5,-19.506105193857515,-0.19540933924824472,28.620815891354045,29.027844794497184
2026-02-11 16:55:00,2026-02-11 17:10:00,SHORT,29.301214335524996,29.407694812434443,194.46557918160062,5,-22.99430137536689,-0.2308045975826966,28.950191809314976,29.407694812434443
2026-02-11 17:20:00,2026-02-11 18:00:00,SHORT,29.650964207039998,29.35183458861654,164.91307280958267,5,47.394184048727325,0.4768181928148274,29.35183458861654,29.75282975253625
2026-02-11 20:20:00,2026-02-11 20:20:00,SHORT,29.766975804719998,29.84505757003985,165.05362379234316,5,-14.858092279835205,-0.148773282123412,29.540541866060092,29.84505757003985
2026-02-11 20:45:00,2026-02-11 20:50:00,SHORT,29.98599770034,30.0550047085092,211.48846863756972,5,-17.136701251242933,-0.17184453044839304,29.744166524802242,30.0550047085092
2026-02-11 21:25:00,2026-02-11 21:45:00,SHORT,30.134012497380002,29.874698872490626,210.0880154165806,5,51.96815834457289,0.5220267620050771,29.874698872490626,30.207751704965762
